Number,Individual,Year,Lineage,Treatment,Laid,Hatch,Pupation,Eclose,Pupated (days),Eclosed (days),Weight (g),Sex,Mating Tent,Forewing,Hindwing,Eggs Laid,Notes
99,MTC2S12,2025,MTC2,Lupinus perennis,5/20/25,5/22/25,6/24/25,TBD,33,TBD,0.11543,TBD,TBD,TBD,TBD,,
100,MTC2S13,2025,MTC2,Lupinus perennis,5/20/25,5/22/25,6/23/25,TBD,32,TBD,0.11268,TBD,TBD,TBD,TBD,,
101,MTC2S14,2025,MTC2,Lupinus perennis,5/20/25,5/22/25,6/23/25,7/21/25,32,60,0.10219,M,NA,12.31,12.37,NA,"Early eclose, crinkled wings"
102,MTC2S16,2025,MTC2,Lupinus perennis,5/20/25,5/23/25,6/24/25,TBD,32,TBD,0.11938,TBD,TBD,TBD,TBD,,No length regression
103,MTC2S17,2025,MTC2,Lupinus perennis,5/20/25,5/23/25,6/25/25,TBD,33,TBD,0.12016,TBD,TBD,TBD,TBD,,No length regression
104,MTC2S18,2025,MTC2,Lupinus perennis,5/20/25,5/25/25,6/25/25,TBD,31,TBD,0.11598,TBD,TBD,TBD,TBD,,
105,MTC2S19,2025,MTC2,Lupinus perennis,5/20/25,5/25/25,6/23/25,TBD,29,TBD,0.10011,TBD,TBD,TBD,TBD,,
106,MTC2S27,2025,MTC2,Lupinus perennis,5/20/25,5/25/25,6/25/25,TBD,31,TBD,0.10171,TBD,TBD,TBD,TBD,,No length regression
107,MTC2S30,2025,MTC2,Lupinus perennis,5/20/25,5/25/25,6/23/25,TBD,29,TBD,0.11659,TBD,TBD,TBD,TBD,,
108,FE2S19S1,2025,FE2S19,Lupinus perennis,5/27/25,5/28/25,6/26/25,TBD,29,TBD,0.08886,TBD,TBD,TBD,TBD,,
109,FE2S19S2,2025,FE2S19,Lupinus perennis,5/27/25,6/3/25,6/30/25,TBD,27,TBD,0.10409,TBD,TBD,TBD,TBD,,
110,FE2S19S3,2025,FE2S19,Lupinus perennis,5/27/25,6/3/25,6/30/25,TBD,27,TBD,0.11749,TBD,TBD,TBD,TBD,,
111,MTC1L1,2025,MTC1,Lupinus polyphyllus,5/20/25,5/22/25,6/25/25,TBD,34,TBD,0.10515,TBD,TBD,TBD,TBD,,No length regression
112,MTC1L21A,2025,MTC1,Lupinus polyphyllus,5/20/25,5/27/25,6/28/25,TBD,32,TBD,0.09397,TBD,TBD,TBD,TBD,,No length regression
113,MTC1L21B,2025,MTC1,Lupinus polyphyllus,5/20/25,5/27/25,7/1/25,TBD,35,TBD,0.10096,TBD,TBD,TBD,TBD,,No length regression
114,MTC1L24,2025,MTC1,Lupinus polyphyllus,5/20/25,5/27/25,6/28/25,TBD,32,TBD,0.09336,TBD,TBD,TBD,TBD,,No length regression
115,MTC1L29,2025,MTC1,Lupinus polyphyllus,5/20/25,5/27/25,6/26/25,TBD,30,TBD,0.09633,TBD,TBD,TBD,TBD,,
116,MTC1L37,2025,MTC1,Lupinus polyphyllus,5/20/25,5/28/25,6/30/25,TBD,33,TBD,0.10925,TBD,TBD,TBD,TBD,,
117,MTC2L5,2025,MTC2,Lupinus polyphyllus,5/20/25,5/22/25,7/1/25,TBD,40,TBD,0.08785,TBD,TBD,TBD,TBD,,
118,MTC2L11,2025,MTC2,Lupinus polyphyllus,5/20/25,5/25/25,6/28/25,TBD,34,TBD,0.10277,TBD,TBD,TBD,TBD,,
119,MTC2L15,2025,MTC2,Lupinus polyphyllus,5/20/25,5/25/25,6/30/25,TBD,36,TBD,0.10101,TBD,TBD,TBD,TBD,,
120,MTC2L17,2025,MTC2,Lupinus polyphyllus,5/20/25,5/25/25,6/26/25,TBD,32,TBD,0.10439,TBD,TBD,TBD,TBD,,
121,MTC2L18,2025,MTC2,Lupinus polyphyllus,5/20/25,5/25/25,6/27/25,TBD,33,TBD,0.10312,TBD,TBD,TBD,TBD,,
122,MTC2L31,2025,MTC2,Lupinus polyphyllus,5/20/25,5/25/25,7/2/25,TBD,38,TBD,0.08258,TBD,TBD,TBD,TBD,,
